VideoID,topic_quantum,holistic,technology2,application,laser,mri,smartphone,computer,nuclear,qcomputer,qnetwork,qsensor,spooky,spooky_quote,economic,economic_sentence,benefits,benefits_sentence,progress,progress_quote,b_life,b_finance,b_logistics,b_security,b_defense,b_energy,b_argiculture,risks,risks_quote,r_life,r_finance,r_logistics,r_security,r_defense,r_energy,r_argiculture,superposition,explain_superposition,quote_superposition,entanglement,explain_entanglement,quote_entanglement,explain_contextuality,quote_contextuality
TlmwLyeWv5M,2,0,1,1,1,0,1,1,1,1,0,0,1,"And that's actually
a very strange set of laws.",0, ,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,1,1,"For example,
quantum particles
can get connected together
in a powerful connection
that we call entanglement.",0, 
TndbpLA60y4,1,0,1,1,0,0,0,0,0,1,1,0,1,Albert Einstein thought that superpositions are spooky ,0, ,1,They proposed new algorithms to perform calculations that the best computers in the world would never be able to solve ,0,-9,0,0,0,1,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,1,1,"But what these quantum particles can do, they can be zero and one, on and off at the same time.",0,1,"We bring them in a shared superposition of all on and all off. Now, if we would look at the first light bulb to see if the superposition is still there, it will give us an answer right away, for example on. And instantaneously, the other two light bulbs will also be on.",1,"And the interesting thing is that when you look at the superposition it’s like opening the door to the light bulb to the quantum light bulb, we’ll get an answer right away. 
So, for example, on.
After this, the superposition is gone."
tNkuJvhyfP0,2,1,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
TOKv7xwVZZM,0,0,0,0,0,0,0,0,0,0,0,0,1,We found that what happens at the most basic fundamental level is so bizarre that they had to invent a whole new physics for it called quantum mechanics. ,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
TSc7lE4pwJY,2,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
TSMtV4HTFII,1,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
tszD4VFHhZg,1,0,1,1,0,0,0,0,0,1,0,0,0,-9,0, ,1,"All it did was try to guess a coin toss, but what was astonishing is he proved mathematically that his theoretical quantum computer could do it faster than any possible standard computer that you could build. ",0,-9,0,0,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
tVP6dccbPzM,0,0,1,1,0,0,0,0,0,1,0,0,0,-9,0, ,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
TvVwBlwrRRE,0,0,0,1,0,0,0,0,0,0,0,0,0,-9,0, ,1,"So quantum dots flat screen TVs, you know they’re used all over the place. 
There is a technology called quantum dots that helped make them brighter, better. ",0,-9,0,0,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
u2ocBoGBWSo,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,1,1,"The cat is in a state of superposition, a famous thought experiment by Edward Schrodinger illustrates how things exist in multiple states or, at the same time, ",0,0, ,1,"Until we open the box and take a look see the cat in the valley, where the gold dome glows morning, noon or night is technically dead and alive.
I think the cat in the box from the valley, where the gold dome glows morning, noon and night is West Virginia.
And I think that we, the people of West Virginia near and far are the ones doing the observing, we have the power to open the box. "
U6rJK5mNKUI,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
U-CUKYx5Gxc,0,1,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
uF4eZA2HwOU,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
uGbWIVzjays,2,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
uiBKnyZ_2EE,0,0,1,0,0,0,0,0,0,1,0,0,0,-9,0,-9,1,"Quantum computers, whatever you carry today in your hands will probably have billion fold more power.",0,-9,0,0,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
uk5J2MbYxkc,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
UL2Kocy5YB4,0,1,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
UlDWRZ7IYqw,0,0,0,0,0,0,0,0,0,0,0,0,1,"The atoms lose their individual identity,
and the rules from the quantum world take over.
And that's what gives superfluid
such spooky properties.",0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
uLqTxq9amYQ,0,0,1,1,0,0,0,0,0,1,0,0,0,-9,0, ,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
umQ9dAlCRVg,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
UMX9vwbHwr0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
unBq3ou8P4w,0,0,1,1,0,0,0,0,0,1,0,0,0,-9,0, ,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,1,"I really did not care too much about quantum computers until about four years ago, but when I learned what quantum computers will do to our cryptography of today, I was stunned. 
Maybe these next numbers will help you to understand why.
What took longer than the universe exists will be cracked within 100 seconds, and so everything will change. 
So we need to make sure to be equipped to have a chance against this new technology against this new threat of quantum computers. ",0,0,0,1,0,0,0,0,0,-9,0,0,-9,0,-9
uNyDSx14yIQ,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
UorI7l48ycc,1,0,0,1,0,0,0,0,0,0,0,0,0,-9,0, ,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
uxB3hFQxp-Q,0,0,0,1,0,0,0,0,0,0,0,0,0,-9,0, ,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,1,"Odds are very low that we will be able to stop the ever growing impact of automation and machine learning, soon powered by quantum physics, to penetrate all dimensions of our lives. ",0,0,0,0,0,0,0,0,0,-9,0,0,-9,0,-9
uZxaR2Ft4Is,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
VC_IQQLK1DY,1,0,1,1,0,0,0,0,0,1,1,1,1,"I might be moving really fast and if you see me moving really fast, then you don’t know where I’m standing, it’s very, very strange and very weird. ",1,"a technology which probably holds our economic, strategic, financial and many other, you know future in its, you know, in its category. ",1,"Now this is fundamentally non you know hackable system, so this has made many of the countries invest massively into this super secure quantum protocols, because there is a lot of secret conversations and and meetings etc require complete security. ",0,-9,0,0,0,1,0,1,0,1,"But now what happens is there is another application of quantum entanglement that we are really excited by, but marginally scared of, and that’s the possibility of creating a quantum computer someday.",0,0,0,1,0,0,0,0,0,-9,1,1,"Now it turns out, because of the property of quantum entanglement, the other person who is in Mars will be destined, will certainly find the other ball to be red in color, even though you didn’t know when you sent the balls, what their colors were. 
Okay, and vice versa, that means, if the person in Mars found it blue, the person in Jupiter would certainly find it red now. ",0,-9
VDYD5U5UtR4,1,0,0,1,0,0,0,0,0,0,0,0,0,-9,0,-9,1,"If we can make, 
if we can fully realize
the potential of this amazing resource,
which is so vast, so abundant
and with the resource itself, the fuel --
you know, the sun's power is free to us --
if we can harvest it in 
this cost effective way,
what could it mean, 
where could it go?",1,"The implications of the 
democratization of energy
through low cost solar 
technologies are tremendous,
they're global and they're human.",0,0,0,0,0,1,0,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
VfEQKTb7TTo,2,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
vh006LgFI-g,0,0,1,1,0,0,0,0,0,1,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,1,0, ,0,-9
ViPw2gmFPbU,0,0,0,1,0,1,0,1,1,0,0,0,0,-9,1,"And together,
these two scientific revolutions
would be at the core
of technological and economic revolutions
throughout the 20th century.",1,"And together,
these two scientific revolutions
would be at the core
of technological and economic revolutions
throughout the 20th century.
Without these two theories,
we would not be able to use GPS
to find our location on Earth.",0, ,0,0,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
VK1dUzah9yM,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,0,0, ,0,-9
